time,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph7_1,ph7_2,ph7_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
0,6117,6113,6062,,,6181,6059,6102,,,6639,6633,6696,,,6813,6775,6846,,,6807,6813,6869,,,7021,7032,6977
0.1,6187,6189,6182,,,6295,6167,6179,,,6768,6638,6717,,,6919,6934,6926,,,6957,6959,6965,,,7189,7133,7118
0.2,6198,6169,6230,,,6275,6190,6151,,,6775,6730,6692,,,6964,7031,6999,,,7000,6996,6908,,,7201,7175,7269
0.3,6247,6225,6259,,,6328,6297,6274,,,6810,6726,6784,,,7060,7027,7014,,,7070,7025,6996,,,7190,7176,7227
0.4,6311,6234,6220,,,6292,6317,6185,,,6745,6790,6863,,,7098,7000,7004,,,6983,7144,7072,,,7254,7328,7230
0.5,6236,6187,6254,,,6394,6266,6292,,,6761,6801,6801,,,7050,6966,7039,,,7040,7108,7034,,,7240,7266,7260
0.6,6301,6256,6274,,,6319,6226,6273,,,6875,6836,6834,,,7077,7058,7086,,,7106,7035,7029,,,7303,7326,7276
0.7,6300,6325,6271,,,6351,6286,6323,,,6841,6814,6869,,,7178,7073,7007,,,7072,7096,7050,,,7314,7388,7311
0.8,6220,6299,6297,,,6342,6334,6291,,,6880,6812,6861,,,7122,7105,7070,,,7106,7126,7045,,,7304,7383,7300
0.9,6348,6332,6273,,,6335,6283,6376,,,6930,6862,6978,,,7163,7080,7079,,,7127,7098,7000,,,7360,7345,7342
1,6254,6346,6279,,,6389,6325,6279,,,6817,6877,6832,,,7114,7116,7121,,,7039,7139,7170,,,7301,7417,7255
1.1,6304,6351,6323,,,6364,6312,6350,,,6898,6867,6877,,,7122,7088,7072,,,7135,7134,7080,,,7329,7384,7392
1.2,6272,6355,6258,,,6372,6340,6297,,,6920,6892,6886,,,7137,7169,7143,,,7127,7099,7004,,,7412,7337,7364
1.3,6328,6375,6322,,,6409,6406,6302,,,6896,6939,6903,,,7179,7083,7218,,,7078,7117,7052,,,7367,7369,7401
1.4,6279,6349,6315,,,6343,6405,6273,,,6970,6928,6900,,,7215,7168,7200,,,7092,7058,7167,,,7305,7382,7289
1.5,6326,6316,6354,,,6390,6374,6384,,,6920,6902,6878,,,7130,7191,7197,,,7131,7153,7075,,,7348,7454,7348
