time,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph7_1,ph7_2,ph7_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
0,0.0005043,0.0005008,0.0005027,,,0.0005029,0.0005013,0.0005067,,,0.0005024,0.0005015,0.000502,,,0.0005018,0.000502,0.0005062,,,0.0005025,0.0005027,0.0005019,,,0.0005016,0.0005015,0.0005031
0.1,0.2369189,0.2076832,0.221706,,,0.2017167,0.1869454,0.1819995,,,0.1600933,0.1631311,0.1606179,,,0.1608663,0.1617162,0.1551517,,,0.1957503,0.1713013,0.1725639,,,0.1788584,0.1783232,0.1874068
0.2,0.3042976,0.2616282,0.2943056,,,0.2462221,0.2273676,0.212738,,,0.1886714,0.1821039,0.1900872,,,0.1951065,0.1863338,0.1717518,,,0.2051741,0.1926513,0.1936712,,,0.2175029,0.2105743,0.2195312
0.3,0.35512,0.3345799,0.342232,,,0.2792494,0.2562296,0.2524117,,,0.220956,0.209176,0.2089895,,,0.208288,0.2007364,0.1894843,,,0.2238615,0.2032631,0.2115286,,,0.2420668,0.2236605,0.2536927
0.4,0.3860937,0.3737911,0.3552349,,,0.3142673,0.2733877,0.2855869,,,0.2225173,0.2018384,0.2036781,,,0.2270602,0.2162203,0.2044571,,,0.2345731,0.2115888,0.2254902,,,0.2449907,0.2572105,0.2746983
0.5,0.3950411,0.3940521,0.3947256,,,0.3274353,0.321657,0.3012664,,,0.2242471,0.2125793,0.2229378,,,0.2459415,0.2286977,0.2216884,,,0.230572,0.2293476,0.2230567,,,0.2583698,0.2782703,0.297494
0.6,0.4082552,0.432687,0.4258299,,,0.3418852,0.33107,0.324734,,,0.2085908,0.2314236,0.2337937,,,0.245317,0.2292928,0.2382858,,,0.2289547,0.2518792,0.2316428,,,0.2831542,0.2849783,0.2947299
0.7,0.4246632,0.4595149,0.4341742,,,0.3574212,0.3619564,0.3374276,,,0.2262321,0.2319867,0.2305205,,,0.2577543,0.2385781,0.2578993,,,0.2555021,0.2509546,0.2367141,,,0.2848407,0.2844007,0.3298674
0.8,0.4359857,0.485344,0.4771681,,,0.3716971,0.382186,0.3512913,,,0.2261367,0.2299075,0.2296075,,,0.2675482,0.2503881,0.2600289,,,0.2617925,0.2525494,0.2389391,,,0.2978673,0.2974855,0.3614235
0.9,0.4495206,0.4945784,0.4988328,,,0.3748618,0.3995659,0.3607248,,,0.2308422,0.2436637,0.222674,,,0.2774455,0.2862214,0.2612937,,,0.2585266,0.2616729,0.234349,,,0.3020962,0.3165939,0.3632438
1,0.4637924,0.5074011,0.5179207,,,0.4025039,0.4219988,0.3710997,,,0.2355549,0.246264,0.2392307,,,0.2784473,0.2710156,0.2637029,,,0.2709449,0.2648371,0.2368369,,,0.3221379,0.3315712,0.3558109
1.1,0.4705207,0.5255594,0.546331,,,0.4066823,0.4355484,0.382946,,,0.2516809,0.2548032,0.2410209,,,0.2855664,0.2819673,0.2751144,,,0.2614222,0.2615823,0.2475704,,,0.3208323,0.321444,0.3795307
1.2,0.4964442,0.5573581,0.5806199,,,0.4036662,0.4381663,0.3987835,,,0.2531278,0.2663099,0.2439588,,,0.3010868,0.2860245,0.2880754,,,0.2657836,0.271248,0.2565576,,,0.3315112,0.321917,0.3772766
1.3,0.5011585,0.5509049,0.572931,,,0.4078436,0.444567,0.4217316,,,0.2443574,0.268061,0.2464826,,,0.2969463,0.2722249,0.292447,,,0.2652198,0.2784918,0.2608489,,,0.3376437,0.3438497,0.3919882
1.4,0.4948507,0.5440379,0.6065808,,,0.4170192,0.4561334,0.4237506,,,0.234953,0.2731931,0.2508016,,,0.2986691,0.291843,0.2854277,,,0.2760051,0.2867601,0.268201,,,0.3461069,0.3387327,0.3852778
1.5,0.4934081,0.5722699,0.6191652,,,0.430776,0.4671818,0.4400999,,,0.2535388,0.2740303,0.2508906,,,0.3185535,0.2854975,0.2876076,,,0.2747944,0.2913307,0.2714607,,,0.3436092,0.3450362,0.4013647
1.6,0.5095302,0.568726,0.6308918,,,0.432196,0.4638254,0.4563222,,,0.2657342,0.2681957,0.2662593,,,0.3054677,0.2978918,0.2792054,,,0.280094,0.3073,0.2834184,,,0.3591295,0.3661623,0.4061601
1.7,0.5186009,0.5942362,0.6223311,,,0.438338,0.4675901,0.4643883,,,0.274896,0.2748662,0.261439,,,0.3122726,0.3094947,0.2893989,,,0.2800146,0.3035189,0.2790573,,,0.3696586,0.3739685,0.4006779
1.8,0.5112265,0.6039913,0.6185957,,,0.4516217,0.4892687,0.4692377,,,0.2725777,0.2761876,0.2760939,,,0.3090887,0.3241827,0.2874458,,,0.2966495,0.2980042,0.2763181,,,0.3875416,0.3799047,0.4077865
1.9,0.5099314,0.6140698,0.6458789,,,0.4398906,0.4745152,0.4553305,,,0.2677175,0.2934026,0.2722188,,,0.3136481,0.3248366,0.2908179,,,0.2896038,0.3113862,0.2742621,,,0.3913738,0.3747229,0.4133528
2,0.4858201,0.5776362,0.6320207,,,0.4294901,0.4799165,0.4597084,,,0.2690871,0.2852891,0.2678941,,,0.3106033,0.3158227,0.2920278,,,0.2875328,0.3064047,0.2874198,,,0.4010344,0.3938779,0.4137875
2.1,0.5213795,0.6023888,0.6285232,,,0.4403047,0.4805799,0.4795394,,,0.2789854,0.2994054,0.2752525,,,0.3165609,0.3145458,0.2909348,,,0.2843094,0.3153966,0.2838258,,,0.3980245,0.3980398,0.4203014
2.2,0.5076042,0.6186401,0.6353664,,,0.4397382,0.497722,0.4752991,,,0.2786442,0.2896104,0.2699321,,,0.3110361,0.3221933,0.2924242,,,0.2832439,0.313301,0.2893518,,,0.4169641,0.3938608,0.4146974
2.3,0.4819793,0.6449163,0.6276924,,,0.4333055,0.5033097,0.4816579,,,0.2796976,0.2940609,0.2755397,,,0.3275069,0.32924,0.2932108,,,0.2844503,0.3197771,0.2894959,,,0.4194475,0.3997554,0.433731
