time,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph7_1,ph7_2,ph7_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
0,1630.725,1610.565,1605.106,,,1601.25,1588.654,1580.412,,,1551.468,1536.811,1561.364,,,1543.945,1548.728,1538.368,,,1539.275,1559.719,1551.538,,,1581.554,1586.537,1579.915
0.1,1640.948,1633.14,1641.568,,,1625.039,1614.864,1597.744,,,1552.4,1543.59,1560.783,,,1559.561,1559.226,1564.542,,,1559.08,1564.732,1568.082,,,1605.556,1611.513,1604.643
0.2,1654.86,1653.967,1651.627,,,1645.378,1626.531,1609.419,,,1555.216,1554.403,1574.132,,,1567.621,1574.308,1570.085,,,1558.968,1567.455,1572.224,,,1613.162,1626.71,1620.531
0.3,1667.536,1664.304,1664.311,,,1655.234,1637.225,1629.099,,,1560.052,1556.5,1576.244,,,1585.589,1566.162,1553.149,,,1565.438,1575.583,1569.761,,,1623.899,1616.462,1620.894
0.4,1678.308,1681.455,1680.884,,,1663.702,1646.239,1642.327,,,1542.528,1563.262,1582.708,,,1587.683,1567.8,1568.121,,,1573.652,1572.493,1567.276,,,1619.335,1630.189,1632.982
0.5,1678.881,1687.854,1684.515,,,1660.152,1657.489,1634.961,,,1558.004,1567.796,1584.354,,,1601.1,1574.813,1584.819,,,1564.485,1566.367,1575.441,,,1623.387,1627.603,1619.042
0.6,1678.554,1701.254,1694.444,,,1657.497,1646.958,1657.497,,,1562.508,1568.532,1587.187,,,1597.116,1570.054,1576.661,,,1592.709,1575.932,1571.744,,,1623.571,1652.797,1635.567
0.7,1696.006,1688.415,1689.511,,,1660.321,1657.86,1657.289,,,1565.951,1585.929,1586.949,,,1602.415,1581.514,1589.524,,,1602.146,1579.967,1576.749,,,1632.974,1641.436,1640.414
0.8,1688.889,1699.99,1694.856,,,1673.388,1657.118,1678.437,,,1567.879,1584.256,1593.746,,,1600.309,1581.554,1599.438,,,1588.592,1574.463,1578.681,,,1637.776,1652.296,1639.019
0.9,1701.113,1709.562,1706.861,,,1675.824,1665.692,1671.148,,,1572.273,1586.762,1588.964,,,1608.558,1583.39,1577.304,,,1597.171,1575.875,1577.662,,,1629.445,1641.186,1638.132
1,1698.686,1712.147,1706.44,,,1666.205,1664.707,1677.789,,,1568.031,1580.627,1590.989,,,1604.495,1596.38,1580.326,,,1595.891,1573.246,1570.713,,,1635.98,1647.008,1640.188
1.1,1696.203,1720.313,1721.754,,,1660.727,1655.257,1665.387,,,1565.037,1589.626,1588.334,,,1603.282,1595.167,1583.208,,,1590.132,1580.452,1583.199,,,1636.116,1648.164,1645.622
1.2,1692.295,1714.337,1707.942,,,1674.473,1655.135,1681.036,,,1577.674,1587.198,1574.691,,,1608.404,1592.076,1603.878,,,1584.167,1577.985,1569.385,,,1636.039,1669.398,1651.835
1.3,1693.492,1719.427,1711.545,,,1676.788,1664.21,1689.437,,,1591.074,1592.751,1577.488,,,1607.024,1599.851,1602.509,,,1593.394,1574.648,1576.779,,,1630.728,1657.902,1669.594
1.4,1698.233,1722.211,1717.189,,,1671.364,1665.592,1673.641,,,1599.458,1590.362,1583.874,,,1601.56,1604.391,1600.633,,,1601.349,1573.646,1577.826,,,1632.887,1669.055,1658.265
1.5,1704.405,1718.896,1729.159,,,1676.681,1682.75,1675.528,,,1589.769,1589.506,1569.946,,,1585.188,1616.109,1605.567,,,1584.219,1581.067,1586.795,,,1633.906,1672.112,1650.041
1.6,1704.393,1720.742,1718.941,,,1676.077,1669.946,1680.065,,,1591.11,1587.266,1579.337,,,1611.364,1615.02,1611.578,,,1582.512,1574.729,1587.811,,,1640.102,1674.781,1647.492
1.7,1698.833,1721.409,1719.344,,,1688.106,1665.694,1688.272,,,1590.975,1594.651,1575.465,,,1609.161,1602.397,1604.383,,,1585.342,1579.874,1586.156,,,1639.88,1660.627,1661.829
1.8,1702.504,1725.348,1717.463,,,1679.69,1671.184,1694.575,,,1593.485,1601.509,1587.979,,,1614.643,1603.308,1604.306,,,1595.851,1583.723,1585.743,,,1649.772,1660.401,1661.258
1.9,1688.756,1725.467,1734.288,,,1688.195,1667.734,1693.605,,,1602.966,1601.27,1591.175,,,1605.731,1606.426,1599.559,,,1601.356,1580.441,1592.154,,,1649.743,1670.329,1658.313
2,1702.62,1725.782,1725.699,,,1682.058,1670.081,1697.31,,,1602.683,1586.556,1576.891,,,1607.128,1609.518,1603.716,,,1595.533,1572.358,1576.864,,,1637.819,1671.556,1655.748
2.1,1708.775,1719.08,1723.506,,,1679.779,1674.125,1700.635,,,1598.07,1579.807,1581.886,,,1607.595,1607.37,1608.272,,,1598.811,1591.275,1591.191,,,1637.114,1664.958,1663.381
2.2,1704.287,1732.419,1722.423,,,1684.575,1687.938,1695.25,,,1597.01,1573.492,1578.905,,,1619.523,1605.546,1606.06,,,1595.704,1579.294,1583.137,,,1651.425,1671.54,1665.073
2.3,1700.765,1721.028,1714.574,,,1686.684,1695.108,1696.177,,,1592.689,1586.619,1585.371,,,1608.683,1610.527,1602.814,,,1593.528,1592.271,1584.725,,,1654.84,1671.969,1657.891
2.4,1703.933,1716.917,1731.774,,,1678.404,1683.786,1696.381,,,1597.026,1589.695,1588.673,,,1610.76,1610.333,1604.94,,,1593.646,1594.266,1579.14,,,1643.853,1668.067,1657.41
2.5,1700.769,1713.835,1723.611,,,1672.41,1690.264,1699.469,,,1598.955,1582.817,1582.996,,,1617.933,1612.804,1611.706,,,1605.078,1579.879,1587.989,,,1661.497,1668.533,1650.643
2.6,1709.466,1710.44,1744.023,,,1677.055,1678.724,1692.8,,,1597.77,1576.271,1584.772,,,1634.604,1611.905,1603.694,,,1603.788,1583.571,1591.335,,,1661.759,1675.534,1657.295
