time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
0.0,0.00051,0.00051,0.00051,0.00051,0.00051,0.00051,0.0005,0.0005,0.0005,0.00051,0.00051,0.00051,0.0005,0.0005,0.0005,0.00051,0.00051,0.00051
0.1,0.22207,0.20555,0.20559,0.18601,0.17339,0.17973,0.14608,0.13804,0.13968,0.16075,0.15442,0.17151,0.16951,0.14899,0.14651,0.14845,0.16873,0.153
0.2,0.26136,0.28175,0.26358,0.23984,0.21528,0.22326,0.16791,0.14979,0.19795,0.18867,0.17215,0.18509,0.17064,0.1924,0.17281,0.16701,0.17902,0.16378
0.3,0.30496,0.32926,0.3372,0.26679,0.2466,0.2473,0.18451,0.17321,0.21429,0.19875,0.21688,0.19534,0.18372,0.2107,0.20907,0.19466,0.19411,0.1834
0.4,0.30815,0.39347,0.37085,0.27747,0.26824,0.31415,0.20922,0.18871,0.23549,0.22266,0.21127,0.23029,0.20704,0.20453,0.20814,0.2082,0.20809,0.19043
0.5,0.36963,0.43568,0.41138,0.33323,0.31337,0.33212,0.23907,0.18862,0.23467,0.22463,0.21382,0.22879,0.20793,0.19776,0.23011,0.2128,0.2366,0.19102
0.6,0.40834,0.4473,0.44097,0.35283,0.30887,0.3619,0.21689,0.22393,0.24823,0.24878,0.22949,0.21539,0.21246,0.22042,0.21649,0.2197,0.25123,0.20187
0.7,0.4466,0.46261,0.47263,0.385,0.35697,0.39317,0.22168,0.21588,0.2365,0.24763,0.24488,0.22078,0.23437,0.20126,0.22589,0.23496,0.27061,0.20622
0.8,0.48492,0.46724,0.51909,0.39159,0.36612,0.40954,0.24575,0.23392,0.23003,0.2525,0.24176,0.20693,0.2486,0.22425,0.25394,0.22478,0.28624,0.20555
0.9,0.55507,0.50536,0.55212,0.3984,0.35718,0.42431,0.25482,0.24555,0.21844,0.26779,0.27129,0.20163,0.25117,0.22954,0.24783,0.25226,0.29805,0.23511
1.0,0.55058,0.52637,0.55075,0.43705,0.37212,0.40189,0.27162,0.27366,0.24366,0.29727,0.27566,0.22202,0.22845,0.24945,0.24928,0.24429,0.30751,0.23708
1.1,0.58569,0.56646,0.57688,0.45658,0.37669,0.42081,0.2747,0.30173,0.25055,0.30164,0.26224,0.25399,0.24912,0.2674,0.2575,0.25753,0.30107,0.25609
1.2,0.56744,0.60689,0.61047,0.46906,0.39939,0.44467,0.28071,0.28475,0.23434,0.28446,0.25257,0.22066,0.25668,0.24641,0.24331,0.28059,0.31866,0.27411
1.3,0.55868,0.57748,0.65143,0.48847,0.39029,0.4696,0.28193,0.27357,0.24293,0.26647,0.25254,0.22549,0.28352,0.25291,0.26669,0.28249,0.34735,0.312
1.4,0.58337,0.62124,0.69513,0.49266,0.38924,0.49437,0.28631,0.28547,0.22764,0.31058,0.24257,0.23271,0.28328,0.2527,0.24855,0.29812,0.35672,0.33014
1.5,0.58563,0.64591,0.6706,0.52062,0.38809,0.47763,0.28732,0.30098,0.21846,0.29017,0.26295,0.24628,0.29042,0.2597,0.27898,0.29049,0.37155,0.30484
1.6,0.60376,0.69204,0.69436,0.51938,0.39184,0.50182,0.26493,0.28211,0.23653,0.28887,0.27662,0.28502,0.28327,0.2852,0.27721,0.27192,0.35974,0.30495
1.7,0.59694,0.70911,0.7127,0.54898,0.4171,0.52269,0.27221,0.28306,0.23215,0.30283,0.27407,0.27464,0.30549,0.27127,0.24359,0.2812,0.37543,0.32267
1.8,0.61824,0.75169,0.72275,0.54615,0.42231,0.49162,0.28958,0.26129,0.23945,0.31986,0.26949,0.27231,0.3187,0.23557,0.25747,0.29055,0.396,0.34066
1.9,0.62718,0.76733,0.79813,0.56136,0.42624,0.51265,0.29574,0.26814,0.25169,0.30379,0.27861,0.27735,0.32604,0.25413,0.25906,0.31682,0.40166,0.35279
2.0,0.64241,0.7676,0.8276,0.59337,0.42241,0.53559,0.28784,0.25934,0.23203,0.28918,0.26898,0.2715,0.29936,0.25772,0.27599,0.32286,0.40034,0.34359
2.1,0.67235,0.74561,0.8207,0.5629,0.44613,0.52284,0.30117,0.27526,0.24487,0.28521,0.28449,0.26822,0.31256,0.24703,0.2825,0.34427,0.42376,0.35046
2.2,0.65123,0.78216,0.81312,0.5962,0.44826,0.53379,0.30405,0.29157,0.24342,0.30207,0.26287,0.28472,0.29549,0.26797,0.26337,0.32073,0.42984,0.36616
