time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
0.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
0.1,0.16325,0.16053,0.16884,0.1515,0.14915,0.15482,0.11937,0.1197,0.12296,0.11945,0.11173,0.12795,0.12567,0.12647,0.12802,0.13521,0.14937,0.13248
0.2,0.20798,0.19552,0.20563,0.17584,0.18407,0.18039,0.12839,0.13215,0.13601,0.13984,0.13942,0.13792,0.15115,0.15036,0.1431,0.15294,0.1683,0.15367
0.3,0.21274,0.22418,0.23839,0.20102,0.19585,0.20851,0.14564,0.13753,0.1566,0.15762,0.1536,0.15774,0.1635,0.1537,0.15636,0.17713,0.19331,0.18753
0.4,0.2198,0.24412,0.24937,0.20694,0.20077,0.21022,0.1526,0.14668,0.15505,0.16474,0.15901,0.16681,0.16992,0.16442,0.16471,0.1979,0.20389,0.2124
0.5,0.23898,0.23335,0.2449,0.22939,0.22619,0.23738,0.14573,0.16443,0.16155,0.17304,0.16325,0.16333,0.17997,0.16215,0.16386,0.20155,0.19538,0.2371
0.6,0.23563,0.24555,0.27346,0.22256,0.22674,0.24965,0.16899,0.16756,0.15837,0.18231,0.17478,0.17667,0.16682,0.17193,0.1782,0.18909,0.22335,0.24394
0.7,0.25531,0.25844,0.28995,0.23746,0.2376,0.25877,0.15947,0.17791,0.17171,0.18075,0.17643,0.18209,0.19101,0.17613,0.17415,0.19639,0.23319,0.23111
0.8,0.25074,0.2901,0.27057,0.23879,0.24402,0.27475,0.17319,0.19281,0.18715,0.18461,0.17084,0.19713,0.18341,0.18489,0.18999,0.21454,0.24192,0.2452
0.9,0.2645,0.27367,0.28701,0.24859,0.23792,0.28472,0.17788,0.18667,0.18007,0.19313,0.17146,0.18054,0.17296,0.17731,0.19197,0.22515,0.25003,0.26733
1.0,0.24223,0.29537,0.29707,0.24399,0.25985,0.27679,0.18326,0.18347,0.18684,0.19616,0.17216,0.18218,0.18556,0.17846,0.19264,0.23515,0.24971,0.27299
1.1,0.22634,0.28392,0.29573,0.2446,0.22873,0.30895,0.20563,0.18904,0.17834,0.20716,0.17266,0.1892,0.18223,0.1946,0.1882,0.2538,0.25689,0.28051
1.2,0.24632,0.30528,0.3104,0.23759,0.23824,0.32056,0.20583,0.18245,0.19888,0.21217,0.1789,0.19124,0.18746,0.18709,0.19599,0.25802,0.25123,0.26948
