time,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph7_1,ph7_2,ph7_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
0,5982,5966,5918,,,6078,6079,5969,,,6537,6602,6613,,,6750,6817,6766,,,6818,6783,6762,,,6914,6998,6956
0.1,6072,6050,6033,,,6108,6131,6174,,,6560,6677,6694,,,6837,6835,6888,,,6832,6836,6894,,,7030,7025,7036
0.2,5999,6122,6103,,,6096,6246,6149,,,6663,6751,6675,,,6839,6816,6862,,,6895,6933,6991,,,7138,7001,7073
0.3,6067,6093,6054,,,6173,6200,6166,,,6617,6722,6747,,,6869,6882,6826,,,6959,6983,6885,,,7125,7138,7121
0.4,6105,6061,6090,,,6206,6289,6191,,,6712,6695,6747,,,6863,6903,6887,,,6891,7000,6981,,,7174,7138,7195
0.5,6051,6110,6117,,,6151,6237,6313,,,6706,6836,6725,,,6908,6910,6900,,,6912,7004,6957,,,7209,7211,7166
0.6,6157,6091,6088,,,6166,6273,6169,,,6713,6696,6700,,,6944,6900,6993,,,6835,6983,6911,,,7163,7162,7234
0.7,6107,6187,6083,,,6277,6175,6283,,,6648,6702,6748,,,6980,6881,6895,,,6877,6935,6976,,,7229,7285,7195
0.8,6217,6128,6148,,,6167,6238,6289,,,6704,6785,6703,,,6982,6889,6920,,,6945,6940,6953,,,7222,7301,7171
0.9,6246,6147,6085,,,6228,6253,6321,,,6655,6781,6727,,,6962,6942,6873,,,6910,6965,6929,,,7266,7244,7120
1,6154,6145,6187,,,6179,6308,6295,,,6680,6780,6758,,,7039,6913,6860,,,6960,6997,7002,,,7199,7195,7148
1.1,6115,6153,6199,,,6186,6220,6247,,,6695,6799,6823,,,6978,6919,6931,,,6934,6955,7008,,,7215,7172,7133
1.2,6198,6099,6125,,,6160,6218,6344,,,6728,6776,6752,,,7066,7009,6967,,,6948,7011,7058,,,7257,7165,7134
1.3,6171,6088,6162,,,6198,6276,6247,,,6760,6856,6808,,,6924,6910,7003,,,6923,6984,6946,,,7293,7197,7215
1.4,6112,6114,6127,,,6299,6218,6210,,,6706,6764,6771,,,7019,6938,6910,,,6901,7044,7059,,,7226,7208,7214
1.5,6159,6141,6214,,,6195,6302,6255,,,6784,6771,6785,,,7003,7001,7007,,,6927,6993,7050,,,7258,7182,7262
1.6,6239,6126,6167,,,6284,6270,6265,,,6808,6751,6781,,,7025,7097,6930,,,6934,6951,6943,,,7238,7225,7261
1.7,6134,6152,6190,,,6240,6212,6245,,,6848,6791,6817,,,7014,7004,6966,,,6955,6982,7020,,,7262,7176,7210
1.8,6247,6153,6155,,,6265,6163,6268,,,6860,6741,6767,,,7029,6972,7011,,,6969,7012,7026,,,7215,7249,7218
1.9,6212,6123,6170,,,6219,6269,6199,,,6824,6816,6763,,,7015,7040,7005,,,6980,7011,7016,,,7270,7182,7213
2,6205,6100,6186,,,6268,6236,6253,,,6785,6819,6755,,,7016,7042,7007,,,7004,7051,6960,,,7267,7162,7216
2.1,6224,6146,6088,,,6299,6285,6183,,,6793,6796,6734,,,7030,6971,7006,,,7034,7097,7071,,,7293,7234,7218
2.2,6233,6146,6118,,,6213,6286,6201,,,6795,6880,6769,,,7064,7037,6992,,,6979,7014,6936,,,7391,7236,7129
2.3,6187,6097,6178,,,6242,6267,6269,,,6750,6779,6773,,,7067,6986,7087,,,6950,6988,6975,,,7243,7235,7214
2.4,6240,6149,6163,,,6175,6297,6241,,,6764,6780,6717,,,7066,7037,7025,,,6957,7010,6994,,,7228,7221,7291
2.5,6239,6107,6162,,,6161,6160,6301,,,6756,6829,6773,,,7098,6978,7096,,,6905,6935,6966,,,7252,7271,7246
2.6,6224,6136,6147,,,6285,6314,6329,,,6774,6798,6738,,,7035,7031,7037,,,7014,7055,7037,,,7225,7239,7170
2.7,6226,6048,6239,,,6321,6209,6347,,,6827,6775,6778,,,7048,7034,7054,,,7039,7002,6993,,,7271,7254,7179
2.8,6229,6151,6177,,,6344,6287,6337,,,6865,6725,6767,,,7061,7050,7093,,,6999,7067,6966,,,7240,7273,7264
2.9,6232,6190,6162,,,6338,6189,6319,,,6809,6848,6726,,,7065,7069,7062,,,6992,6990,7086,,,7314,7270,7227
3,6217,6166,6272,,,6276,6328,6309,,,6800,6879,6772,,,7106,6995,7084,,,7055,7022,6978,,,7290,7315,7257
3.1,6184,6167,6166,,,6207,6317,6232,,,6866,6918,6802,,,7058,7075,7072,,,7011,7039,7037,,,7239,7270,7291
3.2,6199,6131,6139,,,6278,6276,6241,,,6834,6820,6724,,,7094,6998,7042,,,7052,7054,7056,,,7198,7196,7285
3.3,6115,6151,6130,,,6304,6313,6268,,,6810,6850,6741,,,7009,7162,7056,,,6982,6966,7055,,,7218,7247,7207
3.4,6177,6071,6151,,,6180,6266,6280,,,6810,6834,6843,,,7051,7073,7052,,,6941,6981,7088,,,7291,7160,7269
3.5,6232,6178,6165,,,6199,6230,6337,,,6798,6871,6737,,,7007,7075,7078,,,6941,7011,7025,,,7346,7227,7257
3.6,6142,6175,6188,,,6261,6214,6283,,,6804,6786,6670,,,7092,7080,7117,,,6919,7094,7116,,,7336,7156,7202
3.7,6191,6183,6229,,,6228,6256,6241,,,6798,6895,6782,,,7094,7077,7030,,,6931,7029,6990,,,7256,7231,7158
