time,ph1_1,ph1_2,ph1_3,,,ph3_1,ph3_2,ph3_3,,,ph5_1,ph5_2,ph5_3,,,ph7_1,ph7_2,ph7_3,,,ph9_1,ph9_2,ph9_3,,,ph11_1,ph11_2,ph11_3
0,1622.161,1614.504,1634.563,,,1594.624,1610.552,1615.808,,,1552.228,1564.052,1560.181,,,1574.96,1547.268,1553.698,,,1567.105,1562.136,1566.949,,,1583.857,1601.195,1586.379
0.1,1650.045,1647.553,1660.525,,,1629.216,1636.231,1633.693,,,1550.047,1568.445,1575.268,,,1577.548,1571,1576.099,,,1571.273,1567.06,1566.492,,,1598.128,1612.584,1601.458
0.2,1655.497,1682.772,1684.68,,,1644.979,1639.477,1657.721,,,1569.914,1567.481,1585.12,,,1581.275,1586.564,1567.932,,,1568.808,1565.772,1587.12,,,1618.719,1630.801,1613.042
0.3,1676.304,1700.784,1695.295,,,1652.383,1675.339,1659.764,,,1569.945,1575.326,1592.303,,,1584.825,1582.809,1570.304,,,1566.885,1574.328,1584.453,,,1621.248,1637.757,1625.856
0.4,1695.052,1717.102,1702.696,,,1671.929,1679.244,1672.914,,,1579.391,1578.616,1592.976,,,1591.485,1582.887,1572.557,,,1576.279,1575.434,1595.113,,,1622.251,1658.267,1642.091
0.5,1701.088,1699.981,1709.732,,,1662.155,1686.678,1677.002,,,1565.047,1576.745,1609.734,,,1593.113,1597.815,1564.568,,,1572.272,1575.562,1589.443,,,1642.598,1668.954,1647.311
0.6,1711.881,1715.967,1715.088,,,1668.936,1701.243,1677.417,,,1571.611,1594.016,1598.523,,,1593.906,1597.327,1573.787,,,1582.396,1575.306,1582.999,,,1659.519,1645.306,1660.663
0.7,1726.475,1711.856,1732.209,,,1674.952,1700.709,1686.166,,,1581.257,1593.622,1606.887,,,1591.011,1609.349,1583.848,,,1587.501,1572.88,1598.749,,,1653.366,1668.255,1653.091
0.8,1722.226,1714.378,1734.263,,,1670.35,1689.789,1684.621,,,1581.232,1580.445,1600.501,,,1604.979,1595.935,1569.915,,,1587.353,1573.8,1606.332,,,1667.503,1674.278,1652.223
0.9,1732.31,1709.39,1721.792,,,1666.218,1685.601,1683.499,,,1577.085,1596.058,1591.004,,,1598.048,1593.379,1573.043,,,1593.136,1576.833,1597.187,,,1676.062,1678.804,1646.774
1,1727.55,1714.297,1721.116,,,1649.45,1705.812,1698.526,,,1576.437,1591.575,1607.723,,,1605.153,1606.28,1578.834,,,1587.937,1589.998,1611.23,,,1666.647,1670.84,1654.744
1.1,1727.2,1702.541,1742.868,,,1665.986,1705.103,1701.085,,,1577.017,1596.116,1600.384,,,1591.403,1611.437,1574.924,,,1589.807,1583.582,1592.674,,,1674.535,1689.024,1670.863
1.2,1739.091,1702.895,1732.998,,,1667.07,1694.385,1695.414,,,1588.063,1596.709,1602.677,,,1600.664,1602.17,1582.106,,,1592.822,1596.509,1600.907,,,1680.869,1677.14,1653.089
1.3,1744.605,1696.899,1744.995,,,1671.186,1695.676,1698.287,,,1585.599,1586.812,1595.067,,,1606.357,1612.03,1579.984,,,1584.937,1583.162,1606.645,,,1685.644,1678.546,1665.234
1.4,1750.351,1702.593,1753.538,,,1678.081,1703.932,1702.167,,,1576.224,1595.828,1594.545,,,1604.189,1605.333,1578.191,,,1597.792,1572.429,1600.236,,,1673.966,1687.809,1659.292
1.5,1737.808,1711.52,1735.446,,,1662.178,1711.072,1708.839,,,1584.504,1596.853,1600.558,,,1608.804,1604.343,1591.231,,,1595.384,1584.408,1598.716,,,1675.245,1676.896,1658.514
1.6,1732.266,1718.914,1732.47,,,1649.676,1695.777,1702.954,,,1591.205,1605.735,1605.075,,,1602.793,1622.08,1584.234,,,1583.38,1592.572,1597.774,,,1671.508,1682.36,1683.519
1.7,1733.492,1708.322,1738.399,,,1660.207,1705.888,1697.266,,,1591.766,1590.077,1603.206,,,1608,1628.653,1585.662,,,1597.121,1587.52,1601.257,,,1665.672,1678.192,1673.814
1.8,1740.43,1715.45,1744.175,,,1656.239,1707.728,1696.927,,,1586.879,1596.075,1607.489,,,1610.659,1612.416,1608.093,,,1580.475,1575.317,1607.057,,,1670.712,1691.003,1673.151
1.9,1744.153,1715.861,1739.57,,,1653.711,1704.353,1695.56,,,1588.949,1593.044,1606.159,,,1603.084,1615.206,1592.721,,,1593.594,1592.853,1596.523,,,1668.176,1687.624,1671.383
2,1742.958,1715.4,1737.396,,,1669.798,1701.708,1689.215,,,1577.201,1586.463,1608.859,,,1601.709,1629.49,1603.965,,,1597.347,1591.186,1604.996,,,1668.572,1694.002,1676.325
2.1,1737.435,1718.575,1750.128,,,1661.829,1699.504,1689.77,,,1583.882,1594.487,1601.071,,,1592.543,1620.992,1603.567,,,1602.297,1590.037,1591.057,,,1667.175,1696.588,1680.943
