time,ph1_1,ph1_2,ph1_3,ph3_1,ph3_2,ph3_3,ph5_1,ph5_2,ph5_3,ph7_1,ph7_2,ph7_3,ph9_1,ph9_2,ph9_3,ph11_1,ph11_2,ph11_3
0.0,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.00049,0.00049,0.00049,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005
0.1,0.21995,0.21136,0.21255,0.18109,0.26355,0.1934,0.16708,0.1958,0.18541,0.16174,0.17073,0.16397,0.17802,0.17768,0.1847,0.18898,0.19277,0.19894
0.2,0.31501,0.24703,0.24935,0.20835,0.29121,0.24334,0.19159,0.22124,0.19225,0.2005,0.17703,0.16645,0.19457,0.20235,0.20223,0.21864,0.25001,0.24313
0.3,0.31782,0.28404,0.29718,0.26557,0.3279,0.2188,0.23001,0.25392,0.22358,0.21173,0.205,0.18378,0.19957,0.24582,0.22045,0.24797,0.29224,0.27471
0.4,0.34733,0.32016,0.29917,0.28357,0.35008,0.23264,0.21257,0.26158,0.25255,0.23128,0.20591,0.20809,0.22422,0.22171,0.24531,0.26876,0.27852,0.28727
0.5,0.33176,0.34157,0.33999,0.29991,0.36981,0.23398,0.20838,0.25109,0.25223,0.25668,0.20949,0.19381,0.22751,0.21635,0.24815,0.2696,0.2845,0.28987
0.6,0.3593,0.35312,0.35265,0.30842,0.36238,0.23175,0.23539,0.26155,0.26309,0.2421,0.22873,0.21472,0.26395,0.23147,0.24675,0.2803,0.30631,0.31893
0.7,0.35569,0.38948,0.35819,0.31606,0.39473,0.27091,0.22921,0.27184,0.26591,0.26119,0.23422,0.23767,0.27756,0.24906,0.26158,0.27087,0.29527,0.32198
0.8,0.3446,0.36905,0.37209,0.2887,0.33836,0.26378,0.23816,0.26002,0.28825,0.25855,0.24142,0.25828,0.28414,0.28685,0.26762,0.28932,0.32446,0.31146
0.9,0.35794,0.39005,0.34043,0.28718,0.35181,0.26541,0.24979,0.28886,0.29295,0.26659,0.2553,0.28198,0.26212,0.30628,0.26923,0.28321,0.35688,0.30212
1.0,0.34832,0.3823,0.38081,0.29195,0.31821,0.26576,0.26081,0.27113,0.28388,0.26178,0.25462,0.24915,0.28328,0.27995,0.29805,0.26958,0.32808,0.32218
1.1,0.34748,0.39578,0.37913,0.29836,0.32744,0.277,0.26274,0.2901,0.27912,0.25568,0.26522,0.24297,0.31,0.3026,0.294,0.31071,0.31632,0.31554
1.2,0.36871,0.41242,0.37697,0.30843,0.34869,0.28247,0.24079,0.28995,0.29504,0.27195,0.26055,0.2403,0.31902,0.28201,0.30585,0.31869,0.32924,0.31195
1.3,0.37437,0.41678,0.39089,0.30557,0.34769,0.26967,0.25411,0.27233,0.28804,0.29096,0.26341,0.22838,0.28807,0.30123,0.30123,0.31347,0.33239,0.3257
1.4,0.35808,0.44316,0.41133,0.3128,0.32923,0.31955,0.25058,0.28417,0.29855,0.31209,0.27181,0.23913,0.32751,0.33101,0.31009,0.33365,0.32271,0.33958
1.5,0.37192,0.40871,0.39287,0.29379,0.29636,0.30982,0.26109,0.28758,0.3019,0.29073,0.26791,0.23889,0.3152,0.31297,0.30404,0.34271,0.32464,0.34989
1.6,0.40944,0.36067,0.39807,0.31309,0.3183,0.29535,0.27447,0.30379,0.29667,0.30731,0.28441,0.24242,0.28269,0.31396,0.29251,0.33536,0.33932,0.34763
1.7,0.41834,0.40966,0.40261,0.34861,0.34573,0.29559,0.26358,0.30105,0.31648,0.29367,0.30109,0.23317,0.29575,0.26884,0.29771,0.32193,0.34548,0.32104
1.8,0.44141,0.4291,0.41488,0.34432,0.37045,0.30632,0.27056,0.28981,0.32167,0.30069,0.27559,0.27581,0.27826,0.29418,0.31496,0.29377,0.35192,0.32976
1.9,0.47033,0.42224,0.41908,0.33708,0.36572,0.27092,0.28235,0.30032,0.31292,0.28981,0.29359,0.24466,0.28489,0.30759,0.34429,0.29568,0.36539,0.34637
2.0,0.44859,0.38559,0.4094,0.33685,0.36226,0.28732,0.28664,0.31831,0.29815,0.29594,0.28299,0.26975,0.28626,0.28762,0.33258,0.31693,0.34696,0.3389
2.1,0.43836,0.37596,0.41834,0.37257,0.36653,0.28742,0.2827,0.3069,0.30848,0.28411,0.29683,0.2549,0.30813,0.28606,0.29572,0.30441,0.37216,0.35432
2.2,0.45527,0.38387,0.39793,0.38746,0.37426,0.29541,0.28557,0.30541,0.29384,0.29614,0.31867,0.26513,0.30552,0.27772,0.32019,0.31645,0.37426,0.34211
2.3,0.44883,0.37798,0.41124,0.39266,0.40648,0.28433,0.29229,0.30911,0.29441,0.30052,0.29535,0.27349,0.28563,0.28887,0.31398,0.3408,0.36644,0.36924
2.4,0.41793,0.39041,0.39113,0.38427,0.39563,0.26737,0.29334,0.31727,0.29925,0.30105,0.31066,0.28378,0.29195,0.27903,0.30397,0.34382,0.35202,0.38388
2.5,0.40243,0.38438,0.40587,0.40489,0.35746,0.28484,0.29094,0.31536,0.29175,0.2979,0.33514,0.29167,0.28607,0.27385,0.31969,0.33463,0.36782,0.35845
